CategoryId,Name,Link
2,Такси,https://www.avito.ru/saratov/vakansii/taksi-ASgBAgICAUSOC_ql1gI
2,"Транспорт, логистика",https://www.avito.ru/saratov/vakansii/transport_logistika-ASgBAgICAUSOC_ydAQ
2,"Туризм, рестораны",https://www.avito.ru/saratov/vakansii/turizm_restorany-ASgBAgICAUSOC4KeAQ
2,Юриспруденция,https://www.avito.ru/saratov/vakansii/yurisprudentsiya-ASgBAgICAUSOC6SeAQ
2,Управление персоналом,https://www.avito.ru/saratov/vakansii/upravlenie_personalom-ASgBAgICAUSOC6KeAQ
2,"Фитнес, салоны красоты",https://www.avito.ru/saratov/vakansii/fitnes_salony_krasoty-ASgBAgICAUSOC4SeAQ
2,"IT, интернет, телеком",https://www.avito.ru/saratov/rezume/it_internet_telekom-ASgBAgICAUSUC~yeAQ
2,Автомобильный бизнес,https://www.avito.ru/saratov/rezume/avtomobilnyy_biznes-ASgBAgICAUSUC4ifAQ
2,Административная работа,https://www.avito.ru/saratov/rezume/administrativnaya_rabota-ASgBAgICAUSUC56fAQ
2,"Банки, инвестиции",https://www.avito.ru/saratov/rezume/banki_investitsii-ASgBAgICAUSUC6CfAQ
2,"Без опыта, студенты",https://www.avito.ru/saratov/rezume/bez_opyta_studenty-ASgBAgICAUSUC_6eAQ
2,"Бухгалтерия, финансы",https://www.avito.ru/saratov/rezume/buhgalteriya_finansy-ASgBAgICAUSUC4qfAQ
2,Высший менеджмент,https://www.avito.ru/saratov/rezume/vysshiy_menedzhment-ASgBAgICAUSUC4yfAQ
2,"Госслужба, НКО",https://www.avito.ru/saratov/rezume/gossluzhba_nko-ASgBAgICAUSUC46fAQ
2,Домашний персонал,https://www.avito.ru/saratov/rezume/domashniy_personal-ASgBAgICAUSUC5iHAg
2,"ЖКХ, эксплуатация",https://www.avito.ru/saratov/rezume/zhkh_ekspluatatsiya-ASgBAgICAUSUC5CfAQ
2,"Искусство, развлечения",https://www.avito.ru/saratov/rezume/iskusstvo_razvlecheniya-ASgBAgICAUSUC5KfAQ
2,Консультирование,https://www.avito.ru/saratov/rezume/konsultirovanie-ASgBAgICAUSUC5SfAQ
