Id,PropertyId,SubCategoryName,Value
248,11,Все квартиры,блочный
249,12,Все квартиры,2021
250,1,Все квартиры,21.1 м²
251,3,Все квартиры,11 м²
252,12,Все квартиры,1973
253,1,Все квартиры,39.8 м²
254,4,Все квартиры,6 из 24
255,27,Все квартиры,Сдача в 4 кв. 2026
256,13,Все квартиры,24
257,1,Все квартиры,46.7 м²
258,4,Все квартиры,3 из 5
259,6,Все квартиры,260 м
260,12,Все квартиры,1975
261,4,Все квартиры,3 из 24
262,1,Все квартиры,39.1 м²
263,12,Все квартиры,2023
264,1,Все квартиры,41.4 м²
265,3,Все квартиры,19.1 м²
266,25,Все квартиры,Мкр. САЗ 4
267,28,Все квартиры,Дом 12
268,27,Все квартиры,Сдан 3 кв. 2020
269,1,Все квартиры,82 м²
270,3,Все квартиры,47.2 м²
271,29,Все квартиры,есть
272,12,Все квартиры,2009
273,3,Все квартиры,29 м²
274,4,Все квартиры,3 из 9
275,12,Все квартиры,1980
276,1,Все квартиры,64 м²
277,4,Все квартиры,4 из 9
278,1,Все квартиры,62.9 м²
279,2,Все квартиры,13.6 м²
280,3,Все квартиры,35.3 м²
281,23,Все квартиры," панорамные окна"
282,1,Все квартиры,64.3 м²
283,3,Все квартиры,30.8 м²
284,25,Все квартиры,Мкр. «САЗ 2»
285,28,Все квартиры,Дом 40
286,27,Все квартиры,Сдан 4 кв. 2019
287,1,Все квартиры,52.9 м²
288,3,Все квартиры,34 м²
289,12,Все квартиры,1984
290,0,Все квартиры,студия
291,1,Все квартиры,25.2 м²
292,4,Все квартиры,10 из 18
293,25,Все квартиры,ЖК «Друзья»
294,28,Все квартиры,Дом 1
295,27,Все квартиры,Сдан 4 кв. 2023
296,13,Все квартиры,18
297,1,Все квартиры,60 м²
298,12,Все квартиры,2017
299,1,Все квартиры,47.6 м²
300,28,Все квартиры,Дом 41
301,1,Все квартиры,44 м²
302,4,Все квартиры,2 из 5
303,12,Все квартиры,1968
304,4,Все квартиры,12 из 14
305,1,Все квартиры,51.3 м²
306,1,Все квартиры,36.3 м²
307,1,Все квартиры,37.9 м²
308,2,Все квартиры,9.8 м²
309,19,Все квартиры,стиральная машина
310,1,Все квартиры,91.4 м²
311,2,Все квартиры,15.2 м²
312,19,Все квартиры,посудомоечная машина
313,12,Все квартиры,2010
314,1,Все квартиры,36 м²
315,2,Все квартиры,18 м²
316,3,Все квартиры,10 м²
317,4,Все квартиры,8 из 10
318,1,Все квартиры,38.7 м²
319,1,Все квартиры,84.3 м²
320,4,Все квартиры,4 из 24
321,1,Все квартиры,37.3 м²
322,12,Все квартиры,1997
323,1,Все квартиры,48.5 м²
324,3,Все квартиры,31 м²
325,21,Все квартиры,мусоропровод
326,21,Все квартиры," газ"
327,3,Все квартиры,25 м²
328,4,Все квартиры,1 из 9
329,6,Все квартиры,245 м
330,4,Все квартиры,16 из 19
331,12,Все квартиры,1966
332,1,Все квартиры,52 м²
333,1,Все квартиры,32.6 м²
334,2,Все квартиры,6.3 м²
335,3,Все квартиры,19.3 м²
336,4,Все квартиры,14 из 25
337,13,Все квартиры,25
338,1,Все квартиры,45.8 м²
339,4,Все квартиры,4 из 6
340,12,Все квартиры,1963
341,13,Все квартиры,6
342,1,Все квартиры,55.4 м²
343,12,Все квартиры,1965
344,2,Все квартиры,9.2 м²
345,1,Все квартиры,73.2 м²
346,3,Все квартиры,43.7 м²
347,4,Все квартиры,3 из 6
348,1,Все квартиры,43.1 м²
349,1,Все квартиры,61.7 м²
350,12,Все квартиры,2024
351,1,Все квартиры,38 м²
352,3,Все квартиры,17 м²
353,23,Все квартиры,панорамные окна
354,12,Все квартиры,1982
355,1,Все квартиры,40 м²
356,2,Все квартиры,5.5 м²
357,3,Все квартиры,26 м²
358,1,Все квартиры,32 м²
359,4,Все квартиры,3 из 14
360,1,Все квартиры,63.9 м²
361,3,Все квартиры,35.9 м²
362,1,Все квартиры,31.7 м²
363,4,Все квартиры,2 из 6
364,1,Все квартиры,37.4 м²
365,2,Все квартиры,9.1 м²
366,3,Все квартиры,18.6 м²
367,4,Все квартиры,6 из 25
368,2,Все квартиры,10.4 м²
369,1,Все квартиры,59.4 м²
370,4,Все квартиры,8 из 24
371,1,Все квартиры,29 м²
372,12,Все квартиры,1990
373,1,Все квартиры,67 м²
374,12,Все квартиры,1974
375,1,Все квартиры,43.2 м²
376,4,Все квартиры,2 из 2
377,12,Все квартиры,1959
378,13,Все квартиры,2
379,1,Все квартиры,33.5 м²
380,3,Все квартиры,21.5 м²
381,1,Все квартиры,62.4 м²
382,2,Все квартиры,20 м²
383,4,Все квартиры,13 из 24
384,1,Все квартиры,34 м²
385,4,Все квартиры,1 из 4
386,6,Все квартиры,3.3 м
387,12,Все квартиры,1940
388,1,Все квартиры,55.5 м²
389,3,Все квартиры,15 м²
390,4,Все квартиры,2 из 19
391,21,Все квартиры,консьерж
392,2,Все квартиры,25 м²
